Дата,Ваксина,Пол,Възрастова група,Брой заразени
2021/07/27,COM,Мъж,40 - 49,1
2021/07/27,AZ,Мъж,60 - 69,1
2021/07/27,AZ,Мъж,70 - 79,2
2021/07/27,COM,Мъж,50 - 59,1
2021/07/28,MOD,Мъж,60 - 69,2
2021/07/28,COM,Жена,30 - 39,1
2021/07/28,COM,Мъж,17 - 19,2
2021/07/28,MOD,Жена,80 - 89,1
2021/07/28,COM,Жена,50 - 59,1
2021/07/28,AZ,Жена,60 - 69,2
2021/07/28,COM,Жена,60 - 69,2
2021/07/28,MOD,Жена,40 - 49,1
2021/07/28,COM,Мъж,30 - 39,1
2021/07/28,JANSS,Мъж,40 - 49,1
2021/07/28,AZ,Мъж,60 - 69,1
2021/07/28,COM,Жена,40 - 49,1
2021/07/29,COM,Жена,50 - 59,1
2021/07/29,COM,Жена,40 - 49,1
2021/07/29,AZ,Мъж,20 - 29,1
2021/07/29,COM,Жена,60 - 69,1
2021/07/29,COM,Мъж,50 - 59,1
2021/07/29,COM,Жена,20 - 29,1
2021/07/29,JANSS,Мъж,30 - 39,1
2021/07/29,AZ,Жена,50 - 59,1
2021/07/29,AZ,Мъж,70 - 79,1
2021/07/29,COM,Жена,30 - 39,1
2021/07/30,AZ,Жена,80 - 89,1
2021/07/30,COM,Мъж,80 - 89,1
2021/07/30,AZ,Жена,60 - 69,1
2021/07/30,COM,Мъж,17 - 19,1
2021/07/30,AZ,Мъж,50 - 59,1
2021/07/30,JANSS,Мъж,60 - 69,1
2021/07/30,AZ,Мъж,60 - 69,2
2021/07/30,COM,Жена,30 - 39,1
2021/07/30,JANSS,Жена,60 - 69,1
2021/07/30,MOD,Мъж,17 - 19,1
2021/07/30,COM,Жена,80 - 89,1
2021/07/30,COM,Жена,50 - 59,2
2021/07/30,COM,Мъж,30 - 39,2
2021/07/30,COM,Мъж,40 - 49,2
2021/07/30,JANSS,Мъж,70 - 79,1
2021/07/30,COM,Жена,70 - 79,1
2021/07/30,AZ,Мъж,70 - 79,1
2021/07/30,AZ,Мъж,80 - 89,1
2021/07/30,COM,Жена,40 - 49,2
2021/07/30,COM,Мъж,50 - 59,1
2021/07/31,AZ,Мъж,40 - 49,1
2021/07/31,COM,Жена,40 - 49,1
2021/07/31,COM,Жена,60 - 69,1
2021/07/31,COM,Мъж,70 - 79,1
2021/07/31,COM,Мъж,20 - 29,1
2021/07/31,COM,Жена,50 - 59,1
2021/07/31,JANSS,Мъж,60 - 69,1
2021/07/31,AZ,Мъж,20 - 29,1
2021/07/31,MOD,Мъж,70 - 79,1
2021/07/31,MOD,Жена,70 - 79,1
2021/07/31,AZ,Мъж,30 - 39,1
2021/08/01,MOD,Жена,20 - 29,1
2021/08/01,AZ,Мъж,20 - 29,1
2021/08/01,AZ,Жена,50 - 59,1
2021/08/01,COM,Мъж,30 - 39,1
