province,date,new_cases
Blagoevgrad,2021-04-24,59.0
Blagoevgrad,2021-04-25,18.0
Blagoevgrad,2021-04-26,0.0
Blagoevgrad,2021-04-27,81.0
Blagoevgrad,2021-04-28,80.0
Blagoevgrad,2021-04-29,53.0
Blagoevgrad,2021-04-30,65.0
Blagoevgrad,2021-05-01,20.0
Blagoevgrad,2021-05-02,14.0
Blagoevgrad,2021-05-03,2.0
Blagoevgrad,2021-05-04,11.0
Blagoevgrad,2021-05-05,15.0
Blagoevgrad,2021-05-06,81.0
Blagoevgrad,2021-05-07,21.0
Blagoevgrad,2021-05-08,52.0
Blagoevgrad,2021-05-09,16.0
Blagoevgrad,2021-05-10,0.0
Blagoevgrad,2021-05-11,48.0
Blagoevgrad,2021-05-12,23.0
Blagoevgrad,2021-05-13,44.0
Blagoevgrad,2021-05-14,20.0
Blagoevgrad,2021-05-15,41.0
Blagoevgrad,2021-05-16,11.0
Blagoevgrad,2021-05-17,0.0
Blagoevgrad,2021-05-18,43.0
Blagoevgrad,2021-05-19,27.0
Blagoevgrad,2021-05-20,24.0
Blagoevgrad,2021-05-21,14.0
Blagoevgrad,2021-05-22,12.0
Blagoevgrad,2021-05-23,12.0
Blagoevgrad,2021-05-24,0.0
Blagoevgrad,2021-05-25,4.0
Blagoevgrad,2021-05-26,13.0
Blagoevgrad,2021-05-27,26.0
Blagoevgrad,2021-05-28,24.0
Blagoevgrad,2021-05-29,18.0
Blagoevgrad,2021-05-30,8.0
Blagoevgrad,2021-05-31,2.0
Blagoevgrad,2021-06-01,19.0
Blagoevgrad,2021-06-02,15.0
Blagoevgrad,2021-06-03,13.0
Blagoevgrad,2021-06-04,15.0
Blagoevgrad,2021-06-05,5.0
Blagoevgrad,2021-06-06,3.0
Blagoevgrad,2021-06-07,0.0
Blagoevgrad,2021-06-08,12.0
Blagoevgrad,2021-06-09,14.0
Blagoevgrad,2021-06-10,3.0
Blagoevgrad,2021-06-11,9.0
Blagoevgrad,2021-06-12,4.0
Blagoevgrad,2021-06-13,7.0
Blagoevgrad,2021-06-14,6.0
Blagoevgrad,2021-06-15,15.0
Blagoevgrad,2021-06-16,8.0
Blagoevgrad,2021-06-17,4.0
Blagoevgrad,2021-06-18,9.0
Blagoevgrad,2021-06-19,6.0
Blagoevgrad,2021-06-20,0.0
Blagoevgrad,2021-06-21,1.0
Blagoevgrad,2021-06-22,9.0
Blagoevgrad,2021-06-23,4.0
Blagoevgrad,2021-06-24,3.0
Blagoevgrad,2021-06-25,4.0
Blagoevgrad,2021-06-26,1.0
Blagoevgrad,2021-06-27,0.0
Blagoevgrad,2021-06-28,0.0
Blagoevgrad,2021-06-29,11.0
Blagoevgrad,2021-06-30,1.0
Blagoevgrad,2021-07-01,0.0
Blagoevgrad,2021-07-02,2.0
Blagoevgrad,2021-07-03,3.0
Blagoevgrad,2021-07-04,3.0
Blagoevgrad,2021-07-05,1.0
Blagoevgrad,2021-07-06,3.0
Blagoevgrad,2021-07-07,1.0
Blagoevgrad,2021-07-08,4.0
Blagoevgrad,2021-07-09,3.0
Blagoevgrad,2021-07-10,5.0
Blagoevgrad,2021-07-11,2.0
Blagoevgrad,2021-07-12,0.0
Blagoevgrad,2021-07-13,5.0
Blagoevgrad,2021-07-14,6.0
Blagoevgrad,2021-07-15,1.0
Blagoevgrad,2021-07-16,4.0
Blagoevgrad,2021-07-17,7.0
Blagoevgrad,2021-07-18,2.0
Blagoevgrad,2021-07-19,4.0
Blagoevgrad,2021-07-20,7.0
Blagoevgrad,2021-07-21,4.0
Blagoevgrad,2021-07-22,4.0
Blagoevgrad,2021-07-23,8.0
Blagoevgrad,2021-07-24,1.0
Blagoevgrad,2021-07-25,6.0
Blagoevgrad,2021-07-26,1.0
Blagoevgrad,2021-07-27,9.0
Blagoevgrad,2021-07-28,6.0
Blagoevgrad,2021-07-29,7.0
Blagoevgrad,2021-07-30,6.0
Blagoevgrad,2021-07-31,15.0
Blagoevgrad,2021-08-01,3.0
Blagoevgrad,2021-08-02,8.0
Blagoevgrad,2021-08-03,14.0
Blagoevgrad,2021-08-04,17.0
Blagoevgrad,2021-08-05,13.0
